序号,车型,销量,厂商,价格,参数链接,月份,均值
5,宋PLUS新能源,20722,比亚迪,12.98 - 18.98,,202201,35042.34286
3,宋PLUS新能源,22756,比亚迪,12.98 - 18.98,,202202,35042.34286
3,宋PLUS新能源,26729,比亚迪,12.98 - 18.98,,202203,35042.34286
2,宋PLUS新能源,25108,比亚迪,12.98 - 18.98,,202204,35042.34286
2,宋PLUS新能源,31989,比亚迪,12.98 - 18.98,,202205,35042.34286
3,宋PLUS新能源,32077,比亚迪,12.98 - 18.98,,202206,35042.34286
2,宋PLUS新能源,38697,比亚迪,12.98 - 18.98,,202207,35042.34286
3,宋PLUS新能源,42500,比亚迪,12.98 - 18.98,,202208,35042.34286
2,宋PLUS新能源,46475,比亚迪,12.98 - 18.98,,202209,35042.34286
1,宋PLUS新能源,56843,比亚迪,12.98 - 18.98,,202210,35042.34286
3,宋PLUS新能源,64145,比亚迪,12.98 - 18.98,,202211,35042.34286
2,宋PLUS新能源,50006,比亚迪,12.98 - 18.98,,202212,35042.34286
1,宋PLUS新能源,35585,比亚迪,12.98 - 18.98,,202301,35042.34286
1,宋PLUS新能源,37153,比亚迪,12.98 - 18.98,,202302,35042.34286
3,宋PLUS新能源,30088,比亚迪,12.98 - 18.98,,202303,35042.34286
5,宋PLUS新能源,24580,比亚迪,12.98 - 18.98,,202304,35042.34286
5,宋PLUS新能源,22079,比亚迪,12.98 - 18.98,,202305,35042.34286
3,宋PLUS新能源,27041,比亚迪,12.98 - 18.98,,202306,35042.34286
2,宋PLUS新能源,29991,比亚迪,12.98 - 18.98,,202307,35042.34286
4,宋PLUS新能源,32850,比亚迪,12.98 - 18.98,,202308,35042.34286
3,宋PLUS新能源,36773,比亚迪,12.98 - 18.98,,202309,35042.34286
3,宋PLUS新能源,34799,比亚迪,12.98 - 18.98,,202310,35042.34286
4,宋PLUS新能源,34904,比亚迪,12.98 - 18.98,,202311,35042.34286
2,宋PLUS新能源,44370,比亚迪,12.98 - 18.98,,202312,35042.34286
1,宋PLUS新能源,32267,比亚迪,12.98 - 18.98,,202401,35042.34286
5,宋PLUS新能源,12693,比亚迪,12.98 - 18.98,,202402,35042.34286
3,宋PLUS新能源,35176,比亚迪,12.98 - 18.98,,202403,35042.34286
2,宋PLUS新能源,31809,比亚迪,12.98 - 18.98,,202404,35042.34286
4,宋PLUS新能源,33422,比亚迪,12.98 - 18.98,,202405,35042.34286
4,宋PLUS新能源,32911,比亚迪,12.98 - 18.98,,202406,35042.34286
4,宋PLUS新能源,34306,比亚迪,12.98 - 18.98,,202407,35042.34286
4,宋PLUS新能源,39799,比亚迪,12.98 - 18.98,,202408,35042.34286
3,宋PLUS新能源,42382,比亚迪,12.98 - 18.98,,202409,35042.34286
2,宋PLUS新能源,43192,比亚迪,12.98 - 18.98,,202410,35042.34286
3,宋PLUS新能源,40265,比亚迪,12.98 - 18.98,,202411,35042.34286
4,秦PLUS,25535,比亚迪,7.98 - 17.98,,202201,33966.02857
4,秦PLUS,22508,比亚迪,7.98 - 17.98,,202202,33966.02857
5,秦PLUS,22942,比亚迪,7.98 - 17.98,,202203,33966.02857
3,秦PLUS,20292,比亚迪,7.98 - 17.98,,202204,33966.02857
5,秦PLUS,17943,比亚迪,7.98 - 17.98,,202205,33966.02857
6,秦PLUS,23380,比亚迪,7.98 - 17.98,,202206,33966.02857
3,秦PLUS,30093,比亚迪,7.98 - 17.98,,202207,33966.02857
4,秦PLUS,35689,比亚迪,7.98 - 17.98,,202208,33966.02857
4,秦PLUS,36058,比亚迪,7.98 - 17.98,,202209,33966.02857
4,秦PLUS,32195,比亚迪,7.98 - 17.98,,202210,33966.02857
8,秦PLUS,25498,比亚迪,7.98 - 17.98,,202211,33966.02857
7,秦PLUS,23149,比亚迪,7.98 - 17.98,,202212,33966.02857
9,秦PLUS,11590,比亚迪,7.98 - 17.98,,202301,33966.02857
3,秦PLUS,27434,比亚迪,7.98 - 17.98,,202302,33966.02857
2,秦PLUS,40215,比亚迪,7.98 - 17.98,,202303,33966.02857
1,秦PLUS,39951,比亚迪,7.98 - 17.98,,202304,33966.02857
1,秦PLUS,42887,比亚迪,7.98 - 17.98,,202305,33966.02857
2,秦PLUS,38197,比亚迪,7.98 - 17.98,,202306,33966.02857
1,秦PLUS,37129,比亚迪,7.98 - 17.98,,202307,33966.02857
2,秦PLUS,39808,比亚迪,7.98 - 17.98,,202308,33966.02857
2,秦PLUS,39904,比亚迪,7.98 - 17.98,,202309,33966.02857
1,秦PLUS,37902,比亚迪,7.98 - 17.98,,202310,33966.02857
3,秦PLUS,38054,比亚迪,7.98 - 17.98,,202311,33966.02857
3,秦PLUS,41142,比亚迪,7.98 - 17.98,,202312,33966.02857
4,秦PLUS,29244,比亚迪,7.98 - 17.98,,202401,33966.02857
1,秦PLUS,27851,比亚迪,7.98 - 17.98,,202402,33966.02857
1,秦PLUS,50394,比亚迪,7.98 - 17.98,,202403,33966.02857
1,秦PLUS,46314,比亚迪,7.98 - 17.98,,202404,33966.02857
1,秦PLUS,48668,比亚迪,7.98 - 17.98,,202405,33966.02857
2,秦PLUS,38901,比亚迪,7.98 - 17.98,,202406,33966.02857
1,秦PLUS,39710,比亚迪,7.98 - 17.98,,202407,33966.02857
3,秦PLUS,42765,比亚迪,7.98 - 17.98,,202408,33966.02857
5,秦PLUS,38874,比亚迪,7.98 - 17.98,,202409,33966.02857
3,秦PLUS,39808,比亚迪,7.98 - 17.98,,202410,33966.02857
4,秦PLUS,36787,比亚迪,7.98 - 17.98,,202411,33966.02857
18,海鸥,8427,比亚迪,6.98 - 8.58,,202305,33900.47368
10,海鸥,16560,比亚迪,6.98 - 8.58,,202306,33900.47368
4,海鸥,24989,比亚迪,6.98 - 8.58,,202307,33900.47368
3,海鸥,34841,比亚迪,6.98 - 8.58,,202308,33900.47368
4,海鸥,35011,比亚迪,6.98 - 8.58,,202309,33900.47368
2,海鸥,37836,比亚迪,6.98 - 8.58,,202310,33900.47368
2,海鸥,40594,比亚迪,6.98 - 8.58,,202311,33900.47368
4,海鸥,41012,比亚迪,6.98 - 8.58,,202312,33900.47368
5,海鸥,28050,比亚迪,6.98 - 8.58,,202401,33900.47368
4,海鸥,14403,比亚迪,6.98 - 8.58,,202402,33900.47368
4,海鸥,27866,比亚迪,6.98 - 8.58,,202403,33900.47368
3,海鸥,28797,比亚迪,6.98 - 8.58,,202404,33900.47368
3,海鸥,33544,比亚迪,6.98 - 8.58,,202405,33900.47368
3,海鸥,35201,比亚迪,6.98 - 8.58,,202406,33900.47368
3,海鸥,34789,比亚迪,6.98 - 8.58,,202407,33900.47368
1,海鸥,46830,比亚迪,6.98 - 8.58,,202408,33900.47368
2,海鸥,47915,比亚迪,6.98 - 8.58,,202409,33900.47368
1,海鸥,51288,比亚迪,6.98 - 8.58,,202410,33900.47368
1,海鸥,56156,比亚迪,6.98 - 8.58,,202411,33900.47368
5,Model Y,4630,特斯拉中国,25.89 - 36.89,,202102,33226.15217
5,Model Y,10151,特斯拉中国,25.89 - 36.89,,202103,33226.15217
7,Model Y,5407,特斯拉中国,25.89 - 36.89,,202104,33226.15217
4,Model Y,12728,特斯拉中国,25.89 - 36.89,,202105,33226.15217
4,Model Y,11623,特斯拉中国,25.89 - 36.89,,202106,33226.15217
3,Model Y,10354,特斯拉中国,25.89 - 36.89,,202107,33226.15217
3,Model Y,17198,特斯拉中国,25.89 - 36.89,,202108,33226.15217
2,Model Y,33544,特斯拉中国,25.89 - 36.89,,202109,33226.15217
3,Model Y,25538,特斯拉中国,25.89 - 36.89,,202110,33226.15217
2,Model Y,26759,特斯拉中国,25.89 - 36.89,,202111,33226.15217
2,Model Y,40558,特斯拉中国,25.89 - 36.89,,202112,33226.15217
2,Model Y,33297,特斯拉中国,25.89 - 36.89,,202201,33226.15217
1,Model Y,32403,特斯拉中国,25.89 - 36.89,,202202,33226.15217
2,Model Y,39790,特斯拉中国,25.89 - 36.89,,202203,33226.15217
58,Model Y,960,特斯拉中国,25.89 - 36.89,,202204,33226.15217
4,Model Y,20032,特斯拉中国,25.89 - 36.89,,202205,33226.15217
1,Model Y,52557,特斯拉中国,25.89 - 36.89,,202206,33226.15217
7,Model Y,15745,特斯拉中国,25.89 - 36.89,,202207,33226.15217
1,Model Y,62169,特斯拉中国,25.89 - 36.89,,202208,33226.15217
1,Model Y,51802,特斯拉中国,25.89 - 36.89,,202209,33226.15217
3,Model Y,41488,特斯拉中国,25.89 - 36.89,,202210,33226.15217
1,Model Y,69098,特斯拉中国,25.89 - 36.89,,202211,33226.15217
3,Model Y,35750,特斯拉中国,25.89 - 36.89,,202212,33226.15217
5,Model Y,14184,特斯拉中国,24.99 - 35.49,,202301,33226.15217
4,Model Y,25526,特斯拉中国,24.99 - 35.49,,202302,33226.15217
1,Model Y,54937,特斯拉中国,24.99 - 35.49,,202303,33226.15217
4,Model Y,26760,特斯拉中国,24.99 - 35.49,,202304,33226.15217
2,Model Y,31054,特斯拉中国,24.99 - 35.49,,202305,33226.15217
1,Model Y,51471,特斯拉中国,24.99 - 35.49,,202306,33226.15217
5,Model Y,23632,特斯拉中国,24.99 - 35.49,,202307,33226.15217
1,Model Y,51117,特斯拉中国,24.99 - 35.49,,202308,33226.15217
1,Model Y,41428,特斯拉中国,24.99 - 35.49,,202309,33226.15217
6,Model Y,26353,特斯拉中国,24.99 - 35.49,,202310,33226.15217
1,Model Y,49877,特斯拉中国,24.99 - 35.49,,202311,33226.15217
1,Model Y,60055,特斯拉中国,24.99 - 35.49,,202312,33226.15217
3,Model Y,29912,特斯拉中国,24.99 - 35.49,,202401,33226.15217
2,Model Y,22537,特斯拉中国,24.99 - 35.49,,202402,33226.15217
2,Model Y,47917,特斯拉中国,24.99 - 35.49,,202403,33226.15217
4,Model Y,26356,特斯拉中国,24.99 - 35.49,,202404,33226.15217
2,Model Y,39985,特斯拉中国,24.99 - 35.49,,202405,33226.15217
1,Model Y,41110,特斯拉中国,24.99 - 35.49,,202406,33226.15217
2,Model Y,36299,特斯拉中国,24.99 - 35.49,,202407,33226.15217
2,Model Y,45330,特斯拉中国,24.99 - 35.49,,202408,33226.15217
1,Model Y,48202,特斯拉中国,24.99 - 35.49,,202409,33226.15217
6,Model Y,36204,特斯拉中国,24.99 - 35.49,,202410,33226.15217
2,Model Y,44576,特斯拉中国,24.99 - 35.49,,202411,33226.15217
3,宏光MINIEV,7348,上汽通用五菱,3.28 - 9.99,,202007,29592.62264
1,宏光MINIEV,15000,上汽通用五菱,3.28 - 9.99,,202008,29592.62264
1,宏光MINIEV,20150,上汽通用五菱,3.28 - 9.99,,202009,29592.62264
1,宏光MINIEV,23762,上汽通用五菱,3.28 - 9.99,,202010,29592.62264
1,宏光MINIEV,28246,上汽通用五菱,3.28 - 9.99,,202011,29592.62264
1,宏光MINIEV,32097,上汽通用五菱,3.28 - 9.99,,202012,29592.62264
1,宏光MINIEV,36762,上汽通用五菱,3.28 - 9.99,,202101,29592.62264
1,宏光MINIEV,20167,上汽通用五菱,3.28 - 9.99,,202102,29592.62264
1,宏光MINIEV,39745,上汽通用五菱,3.28 - 9.99,,202103,29592.62264
1,宏光MINIEV,29251,上汽通用五菱,3.28 - 9.99,,202104,29592.62264
1,宏光MINIEV,26742,上汽通用五菱,3.28 - 9.99,,202105,29592.62264
1,宏光MINIEV,30100,上汽通用五菱,3.28 - 9.99,,202106,29592.62264
1,宏光MINIEV,26905,上汽通用五菱,3.28 - 9.99,,202107,29592.62264
1,宏光MINIEV,41188,上汽通用五菱,3.28 - 9.99,,202108,29592.62264
1,宏光MINIEV,35176,上汽通用五菱,3.28 - 9.99,,202109,29592.62264
1,宏光MINIEV,39128,上汽通用五菱,3.28 - 9.99,,202110,29592.62264
1,宏光MINIEV,45576,上汽通用五菱,3.28 - 9.99,,202111,29592.62264
1,宏光MINIEV,55742,上汽通用五菱,3.28 - 9.99,,202112,29592.62264
1,宏光MINIEV,37048,上汽通用五菱,3.28 - 9.99,,202201,29592.62264
5,宏光MINIEV,22110,上汽通用五菱,3.28 - 9.99,,202202,29592.62264
1,宏光MINIEV,47563,上汽通用五菱,3.28 - 9.99,,202203,29592.62264
1,宏光MINIEV,27181,上汽通用五菱,3.28 - 9.99,,202204,29592.62264
1,宏光MINIEV,34037,上汽通用五菱,3.28 - 9.99,,202205,29592.62264
2,宏光MINIEV,46249,上汽通用五菱,3.28 - 9.99,,202206,29592.62264
1,宏光MINIEV,56605,上汽通用五菱,3.28 - 9.99,,202207,29592.62264
2,宏光MINIEV,49119,上汽通用五菱,3.28 - 9.99,,202208,29592.62264
3,宏光MINIEV,44711,上汽通用五菱,3.28 - 9.99,,202209,29592.62264
2,宏光MINIEV,47868,上汽通用五菱,3.28 - 9.99,,202210,29592.62264
2,宏光MINIEV,68567,上汽通用五菱,3.28 - 9.99,,202211,29592.62264
1,宏光MINIEV,73009,上汽通用五菱,3.28 - 9.99,,202212,29592.62264
3,宏光MINIEV,16416,上汽通用五菱,3.28 - 9.99,,202301,29592.62264
2,宏光MINIEV,30267,上汽通用五菱,3.28 - 9.99,,202302,29592.62264
6,宏光MINIEV,23159,上汽通用五菱,3.28 - 9.99,,202303,29592.62264
7,宏光MINIEV,18086,上汽通用五菱,3.28 - 9.99,,202304,29592.62264
6,宏光MINIEV,20346,上汽通用五菱,3.28 - 9.99,,202305,29592.62264
11,宏光MINIEV,13763,上汽通用五菱,3.28 - 9.99,,202306,29592.62264
10,宏光MINIEV,15499,上汽通用五菱,3.28 - 9.99,,202307,29592.62264
10,宏光MINIEV,15844,上汽通用五菱,3.28 - 9.99,,202308,29592.62264
11,宏光MINIEV,16146,上汽通用五菱,3.28 - 9.99,,202309,29592.62264
11,宏光MINIEV,20337,上汽通用五菱,3.28 - 9.99,,202310,29592.62264
8,宏光MINIEV,22985,上汽通用五菱,3.28 - 9.99,,202311,29592.62264
10,宏光MINIEV,25015,上汽通用五菱,3.28 - 9.99,,202312,29592.62264
10,宏光MINIEV,15520,上汽通用五菱,3.28 - 9.99,,202401,29592.62264
6,宏光MINIEV,12649,上汽通用五菱,3.28 - 9.99,,202402,29592.62264
10,宏光MINIEV,16046,上汽通用五菱,3.28 - 9.99,,202403,29592.62264
10,宏光MINIEV,12445,上汽通用五菱,3.28 - 9.99,,202404,29592.62264
11,宏光MINIEV,16441,上汽通用五菱,3.28 - 9.99,,202405,29592.62264
20,宏光MINIEV,10187,上汽通用五菱,3.28 - 9.99,,202406,29592.62264
14,宏光MINIEV,15765,上汽通用五菱,3.28 - 9.99,,202407,29592.62264
8,宏光MINIEV,26461,上汽通用五菱,3.28 - 9.99,,202408,29592.62264
7,宏光MINIEV,28918,上汽通用五菱,3.28 - 9.99,,202409,29592.62264
7,宏光MINIEV,34185,上汽通用五菱,3.28 - 9.99,,202410,29592.62264
5,宏光MINIEV,34777,上汽通用五菱,3.28 - 9.99,,202411,29592.62264
175,秦L,331,比亚迪,9.98 - 13.98,,202405,28504.14286
11,秦L,18021,比亚迪,9.98 - 13.98,,202406,28504.14286
5,秦L,32466,比亚迪,9.98 - 13.98,,202407,28504.14286
5,秦L,35957,比亚迪,9.98 - 13.98,,202408,28504.14286
4,秦L,39490,比亚迪,9.98 - 13.98,,202409,28504.14286
4,秦L,39316,比亚迪,9.98 - 13.98,,202410,28504.14286
6,秦L,33948,比亚迪,9.98 - 13.98,,202411,28504.14286
234,海豹06 DM-i,44,比亚迪,9.98 - 13.98,,202405,23845.71429
28,海豹06 DM-i,7625,比亚迪,9.98 - 13.98,,202406,23845.71429
8,海豹06 DM-i,21659,比亚迪,9.98 - 13.98,,202407,23845.71429
6,海豹06 DM-i,32903,比亚迪,9.98 - 13.98,,202408,23845.71429
6,海豹06 DM-i,37155,比亚迪,9.98 - 13.98,,202409,23845.71429
5,海豹06 DM-i,38069,比亚迪,9.98 - 13.98,,202410,23845.71429
7,海豹06 DM-i,29465,比亚迪,9.98 - 13.98,,202411,23845.71429
45,元PLUS,2000,比亚迪,11.98 - 16.78,,202201,21830.51429
13,元PLUS,4517,比亚迪,11.98 - 16.78,,202202,21830.51429
11,元PLUS,10025,比亚迪,11.98 - 16.78,,202203,21830.51429
7,元PLUS,10100,比亚迪,11.98 - 16.78,,202204,21830.51429
7,元PLUS,11500,比亚迪,11.98 - 16.78,,202205,21830.51429
7,元PLUS,16704,比亚迪,11.98 - 16.78,,202206,21830.51429
6,元PLUS,19719,比亚迪,11.98 - 16.78,,202207,21830.51429
7,元PLUS,18006,比亚迪,11.98 - 16.78,,202208,21830.51429
8,元PLUS,23069,比亚迪,11.98 - 16.78,,202209,21830.51429
7,元PLUS,27548,比亚迪,11.98 - 16.78,,202210,21830.51429
6,元PLUS,29402,比亚迪,11.98 - 16.78,,202211,21830.51429
5,元PLUS,29468,比亚迪,11.98 - 16.78,,202212,21830.51429
4,元PLUS,14342,比亚迪,11.98 - 16.78,,202301,21830.51429
6,元PLUS,20279,比亚迪,11.98 - 16.78,,202302,21830.51429
4,元PLUS,27907,比亚迪,11.98 - 16.78,,202303,21830.51429
3,元PLUS,28931,比亚迪,11.98 - 16.78,,202304,21830.51429
4,元PLUS,26072,比亚迪,11.98 - 16.78,,202305,21830.51429
6,元PLUS,23546,比亚迪,11.98 - 16.78,,202306,21830.51429
6,元PLUS,23594,比亚迪,11.98 - 16.78,,202307,21830.51429
6,元PLUS,24272,比亚迪,11.98 - 16.78,,202308,21830.51429
5,元PLUS,28727,比亚迪,11.98 - 16.78,,202309,21830.51429
4,元PLUS,30615,比亚迪,11.98 - 16.78,,202310,21830.51429
5,元PLUS,30751,比亚迪,11.98 - 16.78,,202311,21830.51429
5,元PLUS,30799,比亚迪,11.98 - 16.78,,202312,21830.51429
7,元PLUS,16831,比亚迪,11.98 - 16.78,,202401,21830.51429
10,元PLUS,8210,比亚迪,11.98 - 16.78,,202402,21830.51429
6,元PLUS,21951,比亚迪,11.98 - 16.78,,202403,21830.51429
5,元PLUS,23327,比亚迪,11.98 - 16.78,,202404,21830.51429
6,元PLUS,24646,比亚迪,11.98 - 16.78,,202405,21830.51429
5,元PLUS,23918,比亚迪,11.98 - 16.78,,202406,21830.51429
6,元PLUS,25594,比亚迪,11.98 - 16.78,,202407,21830.51429
7,元PLUS,27046,比亚迪,11.98 - 16.78,,202408,21830.51429
8,元PLUS,25576,比亚迪,11.98 - 16.78,,202409,21830.51429
8,元PLUS,28676,比亚迪,11.98 - 16.78,,202410,21830.51429
11,元PLUS,26400,比亚迪,11.98 - 16.78,,202411,21830.51429
64,理想L6,2381,理想,24.98 - 27.98,,202404,20561
15,理想L6,12965,理想,24.98 - 27.98,,202405,20561
6,理想L6,23864,理想,24.98 - 27.98,,202406,20561
7,理想L6,24856,理想,24.98 - 27.98,,202407,20561
9,理想L6,24897,理想,24.98 - 27.98,,202408,20561
9,理想L6,25393,理想,24.98 - 27.98,,202409,20561
10,理想L6,25814,理想,24.98 - 27.98,,202410,20561
12,理想L6,24318,理想,24.98 - 27.98,,202411,20561
103,宋L DM-i,1462,比亚迪,13.58 - 17.58,,202407,17663.4
17,宋L DM-i,15750,比亚迪,13.58 - 17.58,,202408,17663.4
12,宋L DM-i,22677,比亚迪,13.58 - 17.58,,202409,17663.4
11,宋L DM-i,25198,比亚迪,13.58 - 17.58,,202410,17663.4
13,宋L DM-i,23230,比亚迪,13.58 - 17.58,,202411,17663.4
2,Model 3,11095,特斯拉中国,23.19 - 33.59,,202005,17335.38
1,Model 3,14954,特斯拉中国,23.19 - 33.59,,202006,17335.38
2,Model 3,11014,特斯拉中国,23.19 - 33.59,,202007,17335.38
3,Model 3,11811,特斯拉中国,23.19 - 33.59,,202008,17335.38
2,Model 3,13688,特斯拉中国,23.19 - 33.59,,202102,17335.38
2,Model 3,25327,特斯拉中国,23.19 - 33.59,,202103,17335.38
2,Model 3,20438,特斯拉中国,23.19 - 33.59,,202104,17335.38
2,Model 3,20735,特斯拉中国,23.19 - 33.59,,202105,17335.38
2,Model 3,21532,特斯拉中国,23.19 - 33.59,,202106,17335.38
2,Model 3,22614,特斯拉中国,23.19 - 33.59,,202107,17335.38
2,Model 3,27066,特斯拉中国,23.19 - 33.59,,202108,17335.38
3,Model 3,22462,特斯拉中国,23.19 - 33.59,,202109,17335.38
2,Model 3,28853,特斯拉中国,23.19 - 33.59,,202110,17335.38
3,Model 3,26100,特斯拉中国,23.19 - 33.59,,202111,17335.38
3,Model 3,30289,特斯拉中国,23.19 - 33.59,,202112,17335.38
3,Model 3,26548,特斯拉中国,23.19 - 33.59,,202201,17335.38
2,Model 3,24112,特斯拉中国,23.19 - 33.59,,202202,17335.38
4,Model 3,26024,特斯拉中国,23.19 - 33.59,,202203,17335.38
74,Model 3,552,特斯拉中国,23.19 - 33.59,,202204,17335.38
6,Model 3,12133,特斯拉中国,23.19 - 33.59,,202205,17335.38
4,Model 3,26349,特斯拉中国,23.19 - 33.59,,202206,17335.38
9,Model 3,12472,特斯拉中国,23.19 - 33.59,,202207,17335.38
9,Model 3,14796,特斯拉中国,23.19 - 33.59,,202208,17335.38
6,Model 3,31333,特斯拉中国,23.19 - 33.59,,202209,17335.38
6,Model 3,30216,特斯拉中国,23.19 - 33.59,,202210,17335.38
5,Model 3,31193,特斯拉中国,23.19 - 33.59,,202211,17335.38
10,Model 3,20046,特斯拉中国,23.19 - 33.59,,202212,17335.38
7,Model 3,12659,特斯拉中国,23.19 - 33.59,,202301,17335.38
12,Model 3,8397,特斯拉中国,23.19 - 33.59,,202302,17335.38
7,Model 3,21726,特斯拉中国,23.19 - 33.59,,202303,17335.38
10,Model 3,13196,特斯拉中国,23.19 - 33.59,,202304,17335.38
12,Model 3,11454,特斯拉中国,23.19 - 33.59,,202305,17335.38
7,Model 3,22741,特斯拉中国,23.19 - 33.59,,202306,17335.38
22,Model 3,7791,特斯拉中国,23.19 - 33.59,,202307,17335.38
12,Model 3,13577,特斯拉中国,23.19 - 33.59,,202308,17335.38
61,Model 3,2079,特斯拉中国,23.19 - 33.59,,202309,17335.38
65,Model 3,2273,特斯拉中国,23.19 - 33.59,,202310,17335.38
15,Model 3,15627,特斯拉中国,23.19 - 33.59,,202311,17335.38
14,Model 3,15750,特斯拉中国,23.19 - 33.59,,202312,17335.38
16,Model 3,9969,特斯拉中国,23.19 - 33.59,,202401,17335.38
12,Model 3,7604,特斯拉中国,23.19 - 33.59,,202402,17335.38
11,Model 3,14481,特斯拉中国,23.19 - 33.59,,202403,17335.38
32,Model 3,5065,特斯拉中国,23.19 - 33.59,,202404,17335.38
12,Model 3,15230,特斯拉中国,23.19 - 33.59,,202405,17335.38
10,Model 3,18151,特斯拉中国,23.19 - 33.59,,202406,17335.38
23,Model 3,9928,特斯拉中国,23.19 - 33.59,,202407,17335.38
14,Model 3,18126,特斯拉中国,23.19 - 33.59,,202408,17335.38
11,Model 3,23998,特斯拉中国,23.19 - 33.59,,202409,17335.38
67,Model 3,4281,特斯拉中国,23.19 - 33.59,,202410,17335.38
8,Model 3,28914,特斯拉中国,23.19 - 33.59,,202411,17335.38
29,海豚,1755,比亚迪,9.98 - 13.98,,202108,17021.95
24,海豚,3000,比亚迪,9.98 - 13.98,,202109,17021.95
12,海豚,6018,比亚迪,9.98 - 13.98,,202110,17021.95
10,海豚,8809,比亚迪,9.98 - 13.98,,202111,17021.95
11,海豚,10016,比亚迪,9.98 - 13.98,,202112,17021.95
8,海豚,10602,比亚迪,9.98 - 13.98,,202201,17021.95
8,海豚,8565,比亚迪,9.98 - 13.98,,202202,17021.95
10,海豚,10501,比亚迪,9.98 - 13.98,,202203,17021.95
5,海豚,12040,比亚迪,9.98 - 13.98,,202204,17021.95
16,海豚,6430,比亚迪,9.98 - 13.98,,202205,17021.95
10,海豚,10376,比亚迪,9.98 - 13.98,,202206,17021.95
5,海豚,21005,比亚迪,9.98 - 13.98,,202207,17021.95
6,海豚,23469,比亚迪,9.98 - 13.98,,202208,17021.95
7,海豚,24956,比亚迪,9.98 - 13.98,,202209,17021.95
8,海豚,25336,比亚迪,9.98 - 13.98,,202210,17021.95
7,海豚,26063,比亚迪,9.98 - 13.98,,202211,17021.95
6,海豚,26074,比亚迪,9.98 - 13.98,,202212,17021.95
2,海豚,17582,比亚迪,9.98 - 13.98,,202301,17021.95
5,海豚,22682,比亚迪,9.98 - 13.98,,202302,17021.95
5,海豚,27687,比亚迪,9.98 - 13.98,,202303,17021.95
2,海豚,29961,比亚迪,9.98 - 13.98,,202304,17021.95
3,海豚,29081,比亚迪,9.98 - 13.98,,202305,17021.95
4,海豚,26408,比亚迪,9.98 - 13.98,,202306,17021.95
7,海豚,21800,比亚迪,9.98 - 13.98,,202307,17021.95
7,海豚,22096,比亚迪,9.98 - 13.98,,202308,17021.95
7,海豚,24282,比亚迪,9.98 - 13.98,,202309,17021.95
7,海豚,24735,比亚迪,9.98 - 13.98,,202310,17021.95
6,海豚,26580,比亚迪,9.98 - 13.98,,202311,17021.95
8,海豚,26814,比亚迪,9.98 - 13.98,,202312,17021.95
8,海豚,16386,比亚迪,9.98 - 13.98,,202401,17021.95
8,海豚,9213,比亚迪,9.98 - 13.98,,202402,17021.95
13,海豚,12672,比亚迪,9.98 - 13.98,,202403,17021.95
17,海豚,9995,比亚迪,9.98 - 13.98,,202404,17021.95
18,海豚,10832,比亚迪,9.98 - 13.98,,202405,17021.95
24,海豚,8429,比亚迪,9.98 - 13.98,,202406,17021.95
18,海豚,12443,比亚迪,9.98 - 13.98,,202407,17021.95
16,海豚,15984,比亚迪,9.98 - 13.98,,202408,17021.95
17,海豚,15290,比亚迪,9.98 - 13.98,,202409,17021.95
17,海豚,18231,比亚迪,9.98 - 13.98,,202410,17021.95
20,海豚,16680,比亚迪,9.98 - 13.98,,202411,17021.95
8,汉,2410,比亚迪,16.58 - 25.98,,202007,16888.56604
4,汉,6400,比亚迪,16.58 - 25.98,,202008,16888.56604
4,汉,5612,比亚迪,16.58 - 25.98,,202009,16888.56604
3,汉,7545,比亚迪,16.58 - 25.98,,202010,16888.56604
3,汉,10105,比亚迪,16.58 - 25.98,,202011,16888.56604
2,汉,24178,比亚迪,16.58 - 25.98,,202012,16888.56604
2,汉,24206,比亚迪,16.58 - 25.98,,202101,16888.56604
3,汉,10056,比亚迪,16.58 - 25.98,,202102,16888.56604
4,汉,10323,比亚迪,16.58 - 25.98,,202103,16888.56604
4,汉,8177,比亚迪,16.58 - 25.98,,202104,16888.56604
5,汉,8214,比亚迪,16.58 - 25.98,,202105,16888.56604
5,汉,8386,比亚迪,16.58 - 25.98,,202106,16888.56604
5,汉,8522,比亚迪,16.58 - 25.98,,202107,16888.56604
7,汉,9035,比亚迪,16.58 - 25.98,,202108,16888.56604
6,汉,10248,比亚迪,16.58 - 25.98,,202109,16888.56604
5,汉,11087,比亚迪,16.58 - 25.98,,202110,16888.56604
6,汉,12841,比亚迪,16.58 - 25.98,,202111,16888.56604
6,汉,13701,比亚迪,16.58 - 25.98,,202112,16888.56604
6,汉,12781,比亚迪,16.58 - 25.98,,202201,16888.56604
7,汉,9290,比亚迪,16.58 - 25.98,,202202,16888.56604
6,汉,12359,比亚迪,16.58 - 25.98,,202203,16888.56604
4,汉,13421,比亚迪,16.58 - 25.98,,202204,16888.56604
3,汉,23934,比亚迪,16.58 - 25.98,,202205,16888.56604
5,汉,25439,比亚迪,16.58 - 25.98,,202206,16888.56604
4,汉,25849,比亚迪,16.58 - 25.98,,202207,16888.56604
5,汉,26003,比亚迪,16.58 - 25.98,,202208,16888.56604
5,汉,31497,比亚迪,16.58 - 25.98,,202209,16888.56604
5,汉,31614,比亚迪,16.58 - 25.98,,202210,16888.56604
4,汉,31786,比亚迪,16.58 - 25.98,,202211,16888.56604
4,汉,30043,比亚迪,16.58 - 25.98,,202212,16888.56604
